
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      3,336 K
Registry                       272 Services                   0     55,988 K
smss.exe                       832 Services                   0      1,556 K
csrss.exe                     1220 Services                   0      7,668 K
wininit.exe                   1428 Services                   0      9,192 K
csrss.exe                     1436 Console                    1      8,160 K
services.exe                  1500 Services                   0     19,648 K
lsass.exe                     1508 Services                   0     31,292 K
svchost.exe                   1644 Services                   0     42,276 K
fontdrvhost.exe               1656 Services                   0      4,176 K
svchost.exe                   1748 Services                   0     19,100 K
svchost.exe                   1792 Services                   0     14,488 K
winlogon.exe                  1852 Console                    1     16,924 K
fontdrvhost.exe               1904 Console                    1     18,228 K
svchost.exe                   2008 Services                   0     11,624 K
svchost.exe                   2016 Services                   0     10,132 K
svchost.exe                   2024 Services                   0     18,248 K
svchost.exe                   2032 Services                   0     16,580 K
dwm.exe                        636 Console                    1    107,088 K
svchost.exe                   1420 Services                   0     12,580 K
svchost.exe                   2152 Services                   0     10,768 K
svchost.exe                   2172 Services                   0     14,268 K
svchost.exe                   2180 Services                   0     14,172 K
svchost.exe                   2188 Services                   0     15,904 K
svchost.exe                   2296 Services                   0     17,096 K
svchost.exe                   2408 Services                   0     22,620 K
svchost.exe                   2420 Services                   0      8,300 K
svchost.exe                   2456 Services                   0     10,708 K
svchost.exe                   2472 Services                   0      7,876 K
svchost.exe                   2500 Services                   0     21,072 K
svchost.exe                   2700 Services                   0     11,208 K
svchost.exe                   2708 Services                   0     12,104 K
svchost.exe                   2724 Services                   0     13,632 K
HipsDaemon.exe                3216 Services                   0     94,672 K
NVDisplay.Container.exe       3404 Services                   0     41,300 K
atiesrxx.exe                  3492 Services                   0      9,564 K
amdfendrsr.exe                3488 Services                   0     10,148 K
svchost.exe                   3504 Services                   0     18,972 K
svchost.exe                   3696 Services                   0     20,816 K
svchost.exe                   3708 Services                   0      9,208 K
atieclxx.exe                  3908 Console                    1     21,244 K
svchost.exe                   3916 Services                   0     20,256 K
svchost.exe                   3924 Services                   0     10,452 K
svchost.exe                   3932 Services                   0      7,976 K
Memory Compression            4012 Services                   0  1,023,972 K
svchost.exe                   4052 Services                   0     12,048 K
svchost.exe                   4080 Services                   0     11,528 K
svchost.exe                   4088 Services                   0     11,428 K
svchost.exe                   3360 Services                   0     19,228 K
svchost.exe                   3288 Services                   0     11,952 K
svchost.exe                   4136 Services                   0     12,960 K
svchost.exe                   4192 Services                   0     25,520 K
svchost.exe                   4208 Services                   0     24,496 K
svchost.exe                   4284 Services                   0     19,688 K
audiodg.exe                   4312 Services                   0     22,204 K
spoolsv.exe                   4380 Services                   0     19,228 K
svchost.exe                   4416 Services                   0     20,472 K
svchost.exe                   4548 Services                   0     10,908 K
svchost.exe                   4564 Services                   0     20,304 K
NVDisplay.Container.exe       4640 Console                    1     48,792 K
svchost.exe                   4864 Services                   0     64,800 K
svchost.exe                   4876 Services                   0     37,784 K
SenaryAudioApp.Svc.exe        4888 Services                   0     51,200 K
svchost.exe                   4896 Services                   0     16,160 K
svchost.exe                   4904 Services                   0      7,520 K
NahimicService.exe            4912 Services                   0     16,412 K
nvcontainer.exe               4920 Services                   0     38,552 K
svchost.exe                   4928 Services                   0     26,668 K
wallpaperservice32.exe        4936 Services                   0      7,412 K
svchost.exe                   5168 Services                   0     12,616 K
wallpaper64.exe               4464 Console                    1     52,268 K
nvcontainer.exe               7108 Console                    1     40,620 K
nvcontainer.exe               6660 Console                    1     94,084 K
svchost.exe                   7360 Services                   0     24,444 K
svchost.exe                   7456 Services                   0     10,540 K
gamingservices.exe            7536 Services                   0     49,056 K
gamingservicesnet.exe         7532 Services                   0     10,900 K
NahimicAPO4Volume.exe         7880 Console                    1      8,724 K
wlanext.exe                   7892 Services                   0      9,144 K
AggregatorHost.exe            8084 Services                   0     16,264 K
sihost.exe                    8172 Console                    1     53,244 K
svchost.exe                   7244 Console                    1     11,628 K
svchost.exe                   7260 Console                    1     32,396 K
svchost.exe                   2888 Console                    1      8,136 K
svchost.exe                   4836 Console                    1     40,828 K
